trade_date,etf_code,etf_name,theme,style,shares,close,cost,market_value,unrealized_pnl,unrealized_pnl_pct,weight
2026-05-08,510880.SH,红利ETF,红利,stable_value,85561.27385719011,3.261,284018.99258406466,279015.31404829695,-5003.6785357677145,-0.017617408224158505,0.33775432881284795
2026-05-08,159819.SZ,人工智能ETF,人工智能,growth,203290.98395006493,1.888,357086.0615066589,383813.3776977226,26727.31619106367,0.07484838830810892,0.4646147478172002
