日期,ETF代码,ETF名称,主题,技术面得分,基本面得分,综合得分,是否通过流动性过滤,是否通过趋势过滤,是否通过估值过滤,是否通过市场环境过滤,是否通过60分钟过滤,最终是否入选,目标仓位,风格,风格内得分,风格内排名,风格目标仓位,基础风格目标仓位,现金目标仓位,市场状态,市场状态分数,指数趋势分,ETF宽度分,回撤风险分,结构行情分,融资风险分,融资余额分位,融资余额变化率,强势ETF占比,Top3_60日收益,Top3相对收益,60日正收益占比,是否因缓冲保留,股息率,股息率分位,红利利差,红利利差分位,成交额拥挤度,相对沪深300_60日收益,成分加权PB,PB历史分位,估值得分,ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,volume,amount,ma20,ma60,ma120,ma250,ret_20,ret_60,ret_120,daily_ret,vol_20,max_drawdown_60,drawdown_risk_60,premium_20,avg_amount_20,avg_amount_120,amount_crowding,avg_volume_20,trend_pass,trend_structure,etf_code,etf_name,theme,style,benchmark_ret_60,benchmark_ret_120,relative_ret_60,relative_ret_120,fundamental_score,valuation_percentile,valuation_filter_pass,valuation_score,roe_score,growth_fundamental_score,dividend_yield_abs,dividend_yield_percentile,dividend_spread,dividend_spread_percentile,weighted_pb,weighted_pe_ttm,pb_percentile,pe_percentile,fundamental_source,constituent_count,liquidity_pass,trend_filter_pass,intraday_filter_pass,market_state,market_score,index_trend_score,breadth_score,risk_score,structure_score,top3_ret60,positive_ret60_ratio,top3_relative_ret60,margin_risk_score,margin_balance_percentile,margin_balance_change,strong_etf_ratio,market_filter_pass,style_target_weight,base_style_target_weight,cash_target_weight,style_score,technical_score,final_score,selected,target_weight,style_rank,kept_by_buffer,signal_date,execution_date
2021-01-08,515030.SH,新能源车ETF,新能源车,0.0,0.609375,0.0,False,False,True,True,True,False,0.0,growth,0.0,6,0.05,0.05,0.2,weak,-1,0,-1,0,0,0,,,0.0,0.0,0.0,0.0,False,0.0414852433808378,0.8125,0.0414852433808378,0.8125,,,1.2567096032777754,,0.5,515030.SH,2021-01-08,1.816,1.843,1.849,1.746,1.802,-0.014,-0.7709,5480018.94,977259120.0,,,,,,,,-0.00770925110132159,,,,,,,,,False,0.0,515030.SH,新能源车ETF,新能源车,growth,,,,,0.609375,,True,0.5,,0.5,0.0414852433808378,0.8125,0.0414852433808378,0.8125,1.2567096032777754,11.04383000647527,,,constituent_weighted,38.0,False,False,True,weak,-1,0,-1,0,0,0.0,0.0,0.0,0,,,0.0,True,0.05,0.05,0.2,0.0,0.0,0.0,False,0.0,6,False,2021-01-08,2021-01-11
2021-01-08,515790.SH,光伏ETF,光伏,0.0,0.434375,0.0,False,False,True,True,True,False,0.0,growth,0.0,7,0.05,0.05,0.2,weak,-1,0,-1,0,0,0,,,0.0,0.0,0.0,0.0,False,0.0042568723950728,0.3125,0.0042568723950728,0.3125,,,9.336307484329874,,0.5,515790.SH,2021-01-08,1.242,1.25,1.255,1.196,1.219,-0.023,-1.8519,17904133.92,2174087229.0,,,,,,,,-0.01851851851851849,,,,,,,,,False,0.0,515790.SH,光伏ETF,光伏,growth,,,,,0.434375,,True,0.5,,0.5,0.0042568723950728,0.3125,0.0042568723950728,0.3125,9.336307484329874,50.80098413314465,,,constituent_weighted,208.0,False,False,True,weak,-1,0,-1,0,0,0.0,0.0,0.0,0,,,0.0,True,0.05,0.05,0.2,0.0,0.0,0.0,False,0.0,7,False,2021-01-08,2021-01-11
2021-01-08,510880.SH,红利ETF,红利,0.6937698836335109,0.7075,0.6937698836335109,False,False,True,True,True,False,0.0,stable_value,0.6937698836335109,1,0.7,0.7,0.2,weak,-1,0,-1,0,0,0,,,0.0,0.0,0.0,0.0,False,0.055,1.0,0.055,1.0,,,,,0.55,510880.SH,2021-01-08,2.711,2.712,2.726,2.699,2.724,0.013,0.4795,743486.8,201713302.0,,,,,,,,0.004795278495020483,,,,,,,,,False,0.0,510880.SH,红利ETF,红利,stable_value,,,,,0.7075,,True,0.55,,0.55,0.055,1.0,0.055,1.0,,,,,manual_fallback,0.0,False,False,True,weak,-1,0,-1,0,0,0.0,0.0,0.0,0,,,0.0,True,0.7,0.7,0.2,0.6937698836335109,0.6937698836335109,0.6937698836335109,False,0.0,1,False,2021-01-08,2021-01-11
2021-01-08,512800.SH,银行ETF,银行,0.42294229577175885,0.6856249999999999,0.42294229577175885,False,False,True,True,True,False,0.0,stable_value,0.42294229577175885,2,0.7,0.7,0.2,weak,-1,0,-1,0,0,0,,,0.0,0.0,0.0,0.0,False,0.0443347641014252,0.9375,0.0443347641014252,0.9375,,,0.9369675743942212,,0.55,512800.SH,2021-01-08,1.143,1.145,1.157,1.137,1.146,0.003,0.2625,5943667.48,680656922.0,,,,,,,,0.002624671916010346,,,,,,,,,False,0.0,512800.SH,银行ETF,银行,stable_value,,,,,0.6856249999999999,,True,0.55,,0.55,0.0443347641014252,0.9375,0.0443347641014252,0.9375,0.9369675743942212,6.841308502621409,,,constituent_weighted,37.0,False,False,True,weak,-1,0,-1,0,0,0.0,0.0,0.0,0,,,0.0,True,0.7,0.7,0.2,0.42294229577175885,0.42294229577175885,0.42294229577175885,False,0.0,2,False,2021-01-08,2021-01-11
2021-01-08,159928.SZ,消费ETF,消费,-1.1167121794052692,0.5,-1.1167121794052692,False,False,True,True,True,False,0.0,stable_value,-1.1167121794052692,3,0.7,0.7,0.2,weak,-1,0,-1,0,0,0,,,0.0,0.0,0.0,0.0,False,0.0082336927331134,0.5,0.0082336927331134,0.5,,,17.540976331399865,,0.5,159928.SZ,2021-01-08,5.799,5.793,5.836,5.6,5.647,-0.152,-2.6211,514088.2,293123483.0,,,,,,,,-0.02621141576133823,,,,,,,,,False,0.0,159928.SZ,消费ETF,消费,stable_value,,,,,0.5,,True,0.5,,0.5,0.0082336927331134,0.5,0.0082336927331134,0.5,17.540976331399865,58.52489848369347,,,constituent_weighted,110.0,False,False,True,weak,-1,0,-1,0,0,0.0,0.0,0.0,0,,,0.0,True,0.7,0.7,0.2,-1.1167121794052692,-1.1167121794052692,-1.1167121794052692,False,0.0,3,False,2021-01-08,2021-01-11
2021-01-22,515220.SH,煤炭ETF,煤炭,0.1372152625724772,0.63125,0.1372152625724772,False,False,True,True,True,False,0.0,cyclical_value,0.1372152625724772,1,0.05,0.05,0.2,weak,-1,0,-1,0,0,0,,,0.0,0.0,0.0,0.0,False,0.0428833320583626,0.875,0.011698332058362602,0.875,,,1.216680014718748,,0.5,515220.SH,2021-01-22,1.315,1.309,1.314,1.278,1.285,-0.03,-2.2814,673621.0,86765508.0,,,,,,,,-0.02281368821292773,,,,,,,,,False,0.0,515220.SH,煤炭ETF,煤炭,cyclical_value,,,,,0.63125,,True,0.5,,0.5,0.0428833320583626,0.875,0.011698332058362602,0.875,1.216680014718748,10.821294272231857,,,constituent_weighted,35.0,False,False,True,weak,-1,0,-1,0,0,0.0,0.0,0.0,0,,,0.0,True,0.05,0.05,0.2,0.1372152625724772,0.1372152625724772,0.1372152625724772,False,0.0,1,False,2021-01-22,2021-01-25
2021-01-22,515210.SH,钢铁ETF,钢铁,0.07656954398921065,0.565625,0.07656954398921065,False,False,True,True,True,False,0.0,cyclical_value,0.07656954398921065,2,0.05,0.05,0.2,weak,-1,0,-1,0,0,0,,,0.0,0.0,0.0,0.0,False,0.0248195129786401,0.6875,-0.0063654870213598995,0.6875,,,1.735652303423198,,0.5,515210.SH,2021-01-22,1.292,1.284,1.286,1.268,1.274,-0.018,-1.3932,362978.0,46264533.0,,,,,,,,-0.01393188854489169,,,,,,,,,False,0.0,515210.SH,钢铁ETF,钢铁,cyclical_value,,,,,0.565625,,True,0.5,,0.5,0.0248195129786401,0.6875,-0.0063654870213598995,0.6875,1.735652303423198,14.103839610633814,,,constituent_weighted,35.0,False,False,True,weak,-1,0,-1,0,0,0.0,0.0,0.0,0,,,0.0,True,0.05,0.05,0.2,0.07656954398921065,0.07656954398921065,0.07656954398921065,False,0.0,2,False,2021-01-22,2021-01-25
2021-01-22,512000.SH,券商ETF,证券,0.02835379852035206,0.521875,0.02835379852035206,False,False,True,True,True,False,0.0,cyclical_value,0.02835379852035206,3,0.05,0.05,0.2,weak,-1,0,-1,0,0,0,,,0.0,0.0,0.0,0.0,False,0.0104580621905258,0.5625,-0.0207269378094742,0.5625,,,2.92218551872091,,0.5,512000.SH,2021-01-22,1.195,1.189,1.194,1.166,1.172,-0.023,-1.9247,15519328.04,1825449610.0,,,,,,,,-0.019246861924686276,,,,,,,,,False,0.0,512000.SH,券商ETF,证券,cyclical_value,,,,,0.521875,,True,0.5,,0.5,0.0104580621905258,0.5625,-0.0207269378094742,0.5625,2.92218551872091,24.822264089859388,,,constituent_weighted,47.0,False,False,True,weak,-1,0,-1,0,0,0.0,0.0,0.0,0,,,0.0,True,0.05,0.05,0.2,0.02835379852035206,0.02835379852035206,0.02835379852035206,False,0.0,3,False,2021-01-22,2021-01-25
2021-01-22,512400.SH,有色金属ETF,有色,0.010287738727965373,0.45625,0.010287738727965373,False,False,True,True,True,False,0.0,cyclical_value,0.010287738727965373,4,0.05,0.05,0.2,weak,-1,0,-1,0,0,0,,,0.0,0.0,0.0,0.0,False,0.0050769397766648,0.375,-0.0261080602233352,0.375,,,5.656089389527386,,0.5,512400.SH,2021-01-22,1.116,1.114,1.137,1.096,1.126,0.01,0.8961,5033777.23,561849667.0,,,,,,,,0.008960573476702427,,,,,,,,,False,0.0,512400.SH,有色金属ETF,有色,cyclical_value,,,,,0.45625,,True,0.5,,0.5,0.0050769397766648,0.375,-0.0261080602233352,0.375,5.656089389527386,54.721015509436825,,,constituent_weighted,121.0,False,False,True,weak,-1,0,-1,0,0,0.0,0.0,0.0,0,,,0.0,True,0.05,0.05,0.2,0.010287738727965373,0.010287738727965373,0.010287738727965373,False,0.0,4,False,2021-01-22,2021-01-25
2021-01-22,512200.SH,地产ETF,地产,-0.2524263438100069,0.555,-0.2524263438100069,False,False,True,True,True,False,0.0,cyclical_value,-0.2524263438100069,5,0.05,0.05,0.2,weak,-1,0,-1,0,0,0,,,0.0,0.0,0.0,0.0,False,0.0385222108628644,0.75,0.007337210862864398,0.75,,,1.41900310688234,,0.45,512200.SH,2021-01-22,0.857,0.853,0.856,0.833,0.834,-0.023,-2.6838,3351103.0,281787057.0,,,,,,,,-0.02683780630105015,,,,,,,,,False,0.0,512200.SH,地产ETF,地产,cyclical_value,,,,,0.555,,True,0.45,,0.45,0.0385222108628644,0.75,0.007337210862864398,0.75,1.41900310688234,8.082011627366834,,,constituent_weighted,128.0,False,False,True,weak,-1,0,-1,0,0,0.0,0.0,0.0,0,,,0.0,True,0.05,0.05,0.2,-0.2524263438100069,-0.2524263438100069,-0.2524263438100069,False,0.0,5,False,2021-01-22,2021-01-25
