ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,volume,amount,ma20,ma60,ma120,ret_20,ret_60,ret_120,daily_ret,vol_20,max_drawdown_60,premium_20,avg_amount_20,avg_volume_20,trend_pass,etf_code,etf_name,theme,technical_score,fundamental_score,valuation_percentile,valuation_filter_pass,liquidity_pass,trend_filter_pass,final_score,market_filter_pass,market_exposure,intraday_filter_pass,selected,target_weight,signal_date,execution_date
515790.SH,2021-01-08,1.242,1.25,1.255,1.196,1.219,-0.023,-1.8519,17904133.92,2174087229.0,,,,,,,-0.01851851851851849,,,,,,False,515790.SH,光伏ETF,光伏,0.0,0.5,,True,False,False,0.15,False,0.0,True,False,0.0,2021-01-08,2021-01-11
512400.SH,2021-01-08,1.137,1.148,1.158,1.091,1.134,-0.003,-0.2639,6525105.72,728586134.0,,,,,,,-0.0026385224274407815,,,,,,False,512400.SH,有色金属ETF,有色,0.0,0.5,,True,False,False,0.15,False,0.0,True,False,0.0,2021-01-08,2021-01-11
515220.SH,2021-01-08,1.317,1.317,1.331,1.292,1.309,-0.008,-0.6074,1192960.0,156373734.0,,,,,,,-0.0060744115413818855,,,,,,False,515220.SH,煤炭ETF,煤炭,0.0,0.5,,True,False,False,0.15,False,0.0,True,False,0.0,2021-01-08,2021-01-11
515210.SH,2021-01-08,1.267,1.257,1.273,1.236,1.272,0.005,0.3946,419929.0,52812911.0,,,,,,,0.003946329913180779,,,,,,False,515210.SH,钢铁ETF,钢铁,0.0,0.5,,True,False,False,0.15,False,0.0,True,False,0.0,2021-01-08,2021-01-11
512200.SH,2021-01-08,0.826,0.824,0.836,0.818,0.832,0.006,0.7264,2351280.86,195111905.0,,,,,,,0.007263922518159882,,,,,,False,512200.SH,地产ETF,地产,0.0,0.45,,True,False,False,0.135,False,0.0,True,False,0.0,2021-01-08,2021-01-11
512800.SH,2021-01-15,1.172,1.197,1.236,1.197,1.206,0.034,2.901,11269338.31,1372925226.0,,,,,,,0.029010238907849928,,,,,,False,512800.SH,银行ETF,银行,0.0,0.55,,True,False,False,0.165,False,0.0,True,False,0.0,2021-01-15,2021-01-18
510880.SH,2021-01-15,2.717,2.717,2.74,2.717,2.735,0.018,0.6625,981523.0,268201390.0,,,,,,,0.006624953993374927,,,,,,False,510880.SH,红利ETF,红利,0.0,0.55,,True,False,False,0.165,False,0.0,True,False,0.0,2021-01-15,2021-01-18
512000.SH,2021-01-15,1.17,1.167,1.19,1.159,1.167,-0.003,-0.2564,11614642.18,1362242262.0,,,,,,,-0.002564102564102444,,,,,,False,512000.SH,券商ETF,证券,0.0,0.5,,True,False,False,0.15,False,0.0,True,False,0.0,2021-01-15,2021-01-18
159928.SZ,2021-01-15,5.387,5.369,5.369,5.177,5.286,-0.101,-1.8749,399653.66,210311091.0,,,,,,,-0.01874883979951736,,,,,,False,159928.SZ,消费ETF,消费,0.0,0.5,,True,False,False,0.15,False,0.0,True,False,0.0,2021-01-15,2021-01-18
512010.SH,2021-01-15,3.052,3.048,3.056,2.99,3.044,-0.008,-0.2621,534400.57,161633421.0,,,,,,,-0.002621231979030192,,,,,,False,512010.SH,医药ETF,医药,0.0,0.5,,True,False,False,0.15,False,0.0,True,False,0.0,2021-01-15,2021-01-18
512480.SH,2021-01-15,2.264,2.264,2.288,2.196,2.224,-0.04,-1.7668,3223671.25,723370964.0,,,,,,,-0.01766784452296799,,,,,,False,512480.SH,半导体ETF,半导体,0.0,0.5,,True,False,False,0.15,False,0.0,True,False,0.0,2021-01-15,2021-01-18
159995.SZ,2021-01-15,1.379,1.379,1.397,1.333,1.349,-0.03,-2.1755,11194152.16,1527378624.0,,,,,,,-0.021754894851341522,,,,,,False,159995.SZ,芯片ETF,芯片,0.0,0.5,,True,False,False,0.15,False,0.0,True,False,0.0,2021-01-15,2021-01-18
159819.SZ,2021-01-15,1.003,1.002,1.006,0.985,0.992,-0.011,-1.0967,926965.53,92279167.0,,,,,,,-0.010967098703888234,,,,,,False,159819.SZ,人工智能ETF,人工智能,0.0,0.5,,True,False,False,0.15,False,0.0,True,False,0.0,2021-01-15,2021-01-18
512660.SH,2021-01-15,1.306,1.299,1.318,1.261,1.297,-0.009,-0.6891,13801225.3,1778570422.0,,,,,,,-0.006891271056661652,,,,,,False,512660.SH,军工ETF,军工,0.0,0.5,,True,False,False,0.15,False,0.0,True,False,0.0,2021-01-15,2021-01-18
515030.SH,2021-01-15,1.673,1.672,1.723,1.64,1.714,0.041,2.4507,5534934.06,931563738.0,,,,,,,0.024506873879258873,,,,,,False,515030.SH,新能源车ETF,新能源车,0.0,0.5,,True,False,False,0.15,False,0.0,True,False,0.0,2021-01-15,2021-01-18
515790.SH,2021-01-15,1.171,1.164,1.172,1.133,1.167,-0.004,-0.3416,12839493.0,1482812653.0,,,,,,,-0.0034158838599487318,,,,,,False,515790.SH,光伏ETF,光伏,0.0,0.5,,True,False,False,0.15,False,0.0,True,False,0.0,2021-01-15,2021-01-18
512400.SH,2021-01-15,1.055,1.06,1.074,1.033,1.065,0.01,0.9479,4047977.18,428089898.0,,,,,,,0.009478672985782088,,,,,,False,512400.SH,有色金属ETF,有色,0.0,0.5,,True,False,False,0.15,False,0.0,True,False,0.0,2021-01-15,2021-01-18
515220.SH,2021-01-15,1.232,1.241,1.263,1.239,1.261,0.029,2.3539,1191579.0,149175752.0,,,,,,,0.023538961038960915,,,,,,False,515220.SH,煤炭ETF,煤炭,0.0,0.5,,True,False,False,0.15,False,0.0,True,False,0.0,2021-01-15,2021-01-18
515210.SH,2021-01-15,1.271,1.264,1.266,1.237,1.256,-0.015,-1.1802,407096.0,51004989.0,,,,,,,-0.011801730920534936,,,,,,False,515210.SH,钢铁ETF,钢铁,0.0,0.5,,True,False,False,0.15,False,0.0,True,False,0.0,2021-01-15,2021-01-18
512200.SH,2021-01-15,0.842,0.842,0.854,0.839,0.843,0.001,0.1188,3657184.03,309949585.0,,,,,,,0.0011876484560569,,,,,,False,512200.SH,地产ETF,地产,0.0,0.45,,True,False,False,0.135,False,0.0,True,False,0.0,2021-01-15,2021-01-18
512800.SH,2021-01-22,1.227,1.224,1.224,1.194,1.203,-0.024,-1.956,4243458.85,510800542.0,,,,,,,-0.019559902200488977,,,,,,False,512800.SH,银行ETF,银行,0.0,0.55,,True,False,False,0.165,False,0.0,True,False,0.0,2021-01-22,2021-01-25
510880.SH,2021-01-22,2.613,2.615,2.616,2.583,2.589,-0.024,-0.9185,1864284.0,483418012.0,,,,,,,-0.009184845005740572,,,,,,False,510880.SH,红利ETF,红利,0.0,0.55,,True,False,False,0.165,False,0.0,True,False,0.0,2021-01-22,2021-01-25
512000.SH,2021-01-22,1.195,1.189,1.194,1.166,1.172,-0.023,-1.9247,15519328.04,1825449610.0,,,,,,,-0.019246861924686276,,,,,,False,512000.SH,券商ETF,证券,0.0,0.5,,True,False,False,0.15,False,0.0,True,False,0.0,2021-01-22,2021-01-25
159928.SZ,2021-01-22,5.309,5.309,5.345,5.27,5.315,0.006,0.113,348708.01,184707745.0,,,,,,,0.0011301563382934976,,,,,,False,159928.SZ,消费ETF,消费,0.0,0.5,,True,False,False,0.15,False,0.0,True,False,0.0,2021-01-22,2021-01-25
512010.SH,2021-01-22,3.169,3.18,3.326,3.17,3.322,0.153,4.828,648355.38,211452522.0,,,,,,,0.04828021457873155,,,,,,False,512010.SH,医药ETF,医药,0.0,0.5,,True,False,False,0.15,False,0.0,True,False,0.0,2021-01-22,2021-01-25
