trade_date,etf_code,shares,close,weight
2021-04-09,510880.SH,182094.71766848816,2.77,0.5021915135233589
2021-04-12,CASH,0.0,1.0,1.0
2021-04-13,CASH,0.0,1.0,1.0
2021-04-14,CASH,0.0,1.0,1.0
2021-04-15,CASH,0.0,1.0,1.0
2021-04-16,CASH,0.0,1.0,1.0
2021-04-19,CASH,0.0,1.0,1.0
2021-04-20,CASH,0.0,1.0,1.0
2021-04-21,CASH,0.0,1.0,1.0
2021-04-22,CASH,0.0,1.0,1.0
2021-04-23,CASH,0.0,1.0,1.0
2021-04-26,CASH,0.0,1.0,1.0
2021-04-27,CASH,0.0,1.0,1.0
2021-04-28,CASH,0.0,1.0,1.0
