index_code,con_code,in_date,out_date,is_new
801050.SI,600362.SH,20020111,,Y
801050.SI,600366.SH,20001030,20090601,N
801050.SI,600366.SH,20100602,,Y
801050.SI,600385.SH,20160701,20211210,N
801050.SI,600390.SH,20010115,20170630,N
801050.SI,600392.SH,20130701,,Y
801050.SI,600432.SH,20030905,20170519,N
801050.SI,600456.SH,20020412,,Y
801050.SI,600458.SH,20021219,20080602,N
801050.SI,600459.SH,20030516,,Y
801050.SI,600472.SH,20050509,20071226,N
801050.SI,600478.SH,20030918,20170630,N
801050.SI,600489.SH,20030814,,Y
801050.SI,600490.SH,20111010,,Y
801050.SI,600497.SH,20040420,,Y
801050.SI,600516.SH,20020830,20090601,N
801050.SI,600516.SH,20111010,20211210,N
801050.SI,600525.SH,20021202,20080602,N
801050.SI,600531.SH,20020730,,Y
801050.SI,600547.SH,20030828,,Y
801050.SI,600549.SH,20021107,,Y
801050.SI,600576.SH,20091012,20100601,N
801050.SI,600595.SH,20020626,20210930,N
801050.SI,600595.SH,20211012,,Y
801050.SI,600614.SH,20160701,20200716,N
801050.SI,600615.SH,20160701,,Y
801050.SI,600673.SH,20100602,20190705,N
801050.SI,600673.SH,20220801,20230705,N
801050.SI,600687.SH,20130701,20210106,N
801050.SI,600711.SH,20120702,,Y
801050.SI,600714.SH,20090602,20110930,N
801050.SI,600743.SH,20050701,20070702,N
801050.SI,600766.SH,20130701,20220729,N
801050.SI,600768.SH,20020924,,Y
801050.SI,600807.SH,20220801,20240730,N
801050.SI,600888.SH,19960215,,Y
801050.SI,600961.SH,20040830,,Y
801050.SI,600980.SH,20040512,20240730,N
801050.SI,600988.SH,20130701,,Y
801050.SI,601020.SH,20160325,,Y
801050.SI,601028.SH,20240731,20250526,N
801050.SI,601069.SH,20150129,,Y
801050.SI,601137.SH,20110215,,Y
801050.SI,601168.SH,20070720,,Y
801050.SI,601212.SH,20170222,,Y
801050.SI,601388.SH,20120502,,Y
801050.SI,601600.SH,20070515,,Y
801050.SI,601609.SH,20200429,,Y
801050.SI,601677.SH,20110926,,Y
