index_code,con_code,in_date,out_date,is_new
801150.SI,002900.SZ,20170929,,Y
801150.SI,002901.SZ,20170929,,Y
801150.SI,002907.SZ,20171027,,Y
801150.SI,002923.SZ,20180112,,Y
801150.SI,002932.SZ,20180717,,Y
801150.SI,002940.SZ,20181030,,Y
801150.SI,002950.SZ,20190318,,Y
801150.SI,003020.SZ,20201222,,Y
801150.SI,300003.SZ,20091109,,Y
801150.SI,300006.SZ,20091109,,Y
801150.SI,300009.SZ,20091109,,Y
801150.SI,300015.SZ,20091109,,Y
801150.SI,300016.SZ,20091109,,Y
801150.SI,300026.SZ,20091109,,Y
801150.SI,300030.SZ,20100105,,Y
801150.SI,300039.SZ,20100118,,Y
801150.SI,300049.SZ,20100128,,Y
801150.SI,300086.SZ,20100603,,Y
801150.SI,300108.SZ,20170703,20250528,N
801150.SI,300110.SZ,20100902,,Y
801150.SI,300111.SZ,20220801,,Y
801150.SI,300119.SZ,20100930,20110930,N
801150.SI,300122.SZ,20101013,,Y
801150.SI,300142.SZ,20101122,,Y
801150.SI,300143.SZ,20180716,,Y
801150.SI,300146.SZ,20101223,20120629,N
801150.SI,300147.SZ,20101223,,Y
801150.SI,300149.SZ,20190516,,Y
801150.SI,300158.SZ,20110117,,Y
801150.SI,300171.SZ,20110216,20190705,N
801150.SI,300171.SZ,20211213,,Y
801150.SI,300181.SZ,20110302,,Y
801150.SI,300186.SZ,20110316,20110930,N
801150.SI,300194.SZ,20110330,,Y
801150.SI,300199.SZ,20110415,,Y
801150.SI,300204.SZ,20110427,,Y
801150.SI,300206.SZ,20110428,,Y
801150.SI,300216.SZ,20110518,20190510,N
801150.SI,300233.SZ,20110629,,Y
801150.SI,300238.SZ,20110713,,Y
801150.SI,300239.SZ,20110713,,Y
801150.SI,300244.SZ,20110726,,Y
801150.SI,300246.SZ,20110726,,Y
801150.SI,300254.SZ,20110826,,Y
801150.SI,300255.SZ,20110826,,Y
801150.SI,300261.SZ,20110914,20170630,N
801150.SI,300267.SZ,20111011,,Y
801150.SI,300273.SZ,20111102,20230612,N
801150.SI,300289.SZ,20120223,,Y
801150.SI,300294.SZ,20120315,,Y
801150.SI,300298.SZ,20120326,,Y
801150.SI,300314.SZ,20120515,,Y
801150.SI,300318.SZ,20120530,,Y
801150.SI,300326.SZ,20120620,,Y
801150.SI,300341.SZ,20230706,,Y
801150.SI,300347.SZ,20120824,,Y
801150.SI,300357.SZ,20140128,,Y
801150.SI,300358.SZ,20140128,,Y
801150.SI,300363.SZ,20140212,,Y
801150.SI,300381.SZ,20140211,,Y
801150.SI,300391.SZ,20220801,20260319,N
801150.SI,300396.SZ,20140917,,Y
801150.SI,300401.SZ,20141016,,Y
801150.SI,300404.SZ,20150504,,Y
801150.SI,300406.SZ,20141106,,Y
801150.SI,300412.SZ,20150109,20190705,N
801150.SI,300434.SZ,20180716,,Y
801150.SI,300436.SZ,20150429,,Y
801150.SI,300439.SZ,20150429,,Y
801150.SI,300452.SZ,20150522,,Y
801150.SI,300453.SZ,20150522,,Y
801150.SI,300463.SZ,20150604,,Y
801150.SI,300482.SZ,20150707,,Y
801150.SI,300485.SZ,20150703,,Y
801150.SI,300497.SZ,20151229,,Y
801150.SI,300519.SZ,20160701,,Y
801150.SI,300529.SZ,20160809,,Y
801150.SI,300534.SZ,20160922,,Y
801150.SI,300558.SZ,20161114,,Y
801150.SI,300562.SZ,20161123,,Y
801150.SI,300573.SZ,20161215,,Y
801150.SI,300583.SZ,20170113,,Y
801150.SI,300584.SZ,20170119,,Y
801150.SI,300595.SZ,20170124,,Y
801150.SI,300601.SZ,20170214,,Y
801150.SI,300630.SZ,20170406,20250425,N
801150.SI,300633.SZ,20170413,,Y
801150.SI,300636.SZ,20170411,,Y
801150.SI,300639.SZ,20170419,,Y
801150.SI,300642.SZ,20170428,,Y
801150.SI,300653.SZ,20170523,,Y
801150.SI,300676.SZ,20170721,,Y
801150.SI,300677.SZ,20170728,,Y
801150.SI,300683.SZ,20170815,,Y
801150.SI,300685.SZ,20170809,,Y
801150.SI,300702.SZ,20170926,,Y
801150.SI,300705.SZ,20171017,,Y
801150.SI,300723.SZ,20171123,,Y
801150.SI,300725.SZ,20171117,,Y
801150.SI,300753.SZ,20181220,,Y
801150.SI,300759.SZ,20190211,,Y
801150.SI,300760.SZ,20181023,,Y
801150.SI,300765.SZ,20190329,,Y
801150.SI,300832.SZ,20200519,,Y
801150.SI,300841.SZ,20200623,,Y
801150.SI,300869.SZ,20200831,,Y
801150.SI,300878.SZ,20200831,,Y
801150.SI,300896.SZ,20201013,20211210,N
801150.SI,300937.SZ,20210203,,Y
801150.SI,300942.SZ,20211213,,Y
801150.SI,300966.SZ,20210416,,Y
801150.SI,300981.SZ,20210507,,Y
801150.SI,301015.SZ,20210707,,Y
801150.SI,301017.SZ,20210712,,Y
801150.SI,301033.SZ,20210802,,Y
801150.SI,301047.SZ,20210823,,Y
801150.SI,301060.SZ,20210922,,Y
801150.SI,301065.SZ,20220801,,Y
801150.SI,301075.SZ,20211013,,Y
801150.SI,301080.SZ,20211025,,Y
801150.SI,301087.SZ,20211101,,Y
801150.SI,301089.SZ,20211103,,Y
801150.SI,301093.SZ,20211108,,Y
801150.SI,301096.SZ,20211227,,Y
801150.SI,301097.SZ,20220414,,Y
801150.SI,301103.SZ,20220329,,Y
801150.SI,301111.SZ,20211214,,Y
801150.SI,301122.SZ,20220209,,Y
801150.SI,301126.SZ,20211214,,Y
801150.SI,301130.SZ,20220302,,Y
801150.SI,301166.SZ,20220105,,Y
801150.SI,301188.SZ,20241119,,Y
801150.SI,301201.SZ,20220127,,Y
801150.SI,301207.SZ,20220225,,Y
801150.SI,301211.SZ,20211229,,Y
801150.SI,301230.SZ,20221108,,Y
801150.SI,301234.SZ,20220712,,Y
801150.SI,301235.SZ,20220211,,Y
801150.SI,301239.SZ,20220712,,Y
801150.SI,301246.SZ,20230327,,Y
801150.SI,301257.SZ,20220524,,Y
801150.SI,301258.SZ,20220407,,Y
801150.SI,301263.SZ,20220407,,Y
801150.SI,301267.SZ,20221114,,Y
801150.SI,301277.SZ,20221123,,Y
801150.SI,301281.SZ,20230412,,Y
801150.SI,301290.SZ,20221207,,Y
801150.SI,301293.SZ,20230512,,Y
801150.SI,301301.SZ,20230104,,Y
801150.SI,301331.SZ,20220928,,Y
801150.SI,301333.SZ,20220809,,Y
801150.SI,301363.SZ,20221019,,Y
801150.SI,301367.SZ,20221108,,Y
801150.SI,301370.SZ,20230719,,Y
801150.SI,301393.SZ,20230719,,Y
801150.SI,301408.SZ,20230308,,Y
801150.SI,301507.SZ,20230912,,Y
801150.SI,301509.SZ,20230810,,Y
801150.SI,301515.SZ,20230801,,Y
801150.SI,301520.SZ,20231010,,Y
801150.SI,301580.SZ,20240703,,Y
801150.SI,301584.SZ,20251010,,Y
801150.SI,301602.SZ,20250206,,Y
801150.SI,600055.SH,19970519,,Y
801150.SI,600056.SH,20140702,,Y
801150.SI,600062.SH,19970522,,Y
801150.SI,600079.SH,19970606,,Y
801150.SI,600080.SH,19970612,,Y
801150.SI,600085.SH,19970625,,Y
801150.SI,600090.SH,20170703,20220609,N
801150.SI,600129.SH,19971118,,Y
801150.SI,600161.SH,19980616,,Y
801150.SI,600195.SH,19990107,20110930,N
801150.SI,600196.SH,19980807,,Y
801150.SI,600200.SH,19990401,20140701,N
801150.SI,600200.SH,20190708,20251208,N
801150.SI,600201.SH,19990115,20110930,N
801150.SI,600211.SH,19990721,,Y
801150.SI,600216.SH,19991021,,Y
801150.SI,600222.SH,19991105,,Y
801150.SI,600223.SH,20000113,20100601,N
801150.SI,600226.SH,19991116,20110930,N
801150.SI,600227.SH,20170703,20220729,N
801150.SI,600252.SH,20070703,,Y
801150.SI,600253.SH,20001227,20130715,N
801150.SI,600267.SH,20000725,,Y
801150.SI,600272.SH,20160701,,Y
801150.SI,600276.SH,20001018,,Y
801150.SI,600277.SH,20030103,20110930,N
801150.SI,600285.SH,20001018,,Y
801150.SI,600297.SH,20001116,20150630,N
801150.SI,600329.SH,20010606,,Y
801150.SI,600332.SH,20010206,,Y
801150.SI,600351.SH,20020926,,Y
801150.SI,600380.SH,20010608,,Y
801150.SI,600385.SH,20010723,20130513,N
801150.SI,600385.SH,20140807,20160630,N
801150.SI,600385.SH,20211213,20220609,N
801150.SI,600420.SH,20040616,,Y
801150.SI,600421.SH,20040607,20130628,N
801150.SI,600422.SH,20001206,20130716,N
801150.SI,600422.SH,20130718,,Y
801150.SI,600436.SH,20030616,,Y
801150.SI,600466.SH,20010212,20160630,N
801150.SI,600479.SH,20040312,,Y
801150.SI,600488.SH,20010618,,Y
801150.SI,600490.SH,20070703,20091009,N
801150.SI,600511.SH,20021127,,Y
801150.SI,600513.SH,20030319,,Y
801150.SI,600518.SH,20010319,20211214,N
801150.SI,600518.SH,20211217,,Y
801150.SI,600521.SH,20030304,,Y
801150.SI,600529.SH,20020603,,Y
801150.SI,600530.SH,20010702,20211210,N
801150.SI,600535.SH,20020823,,Y
801150.SI,600538.SH,20030114,20110930,N
801150.SI,600538.SH,20170703,,Y
801150.SI,600556.SH,20010807,20090527,N
801150.SI,600556.SH,20130218,20130628,N
801150.SI,600557.SH,20020918,,Y
801150.SI,600566.SH,20140702,,Y
801150.SI,600568.SH,20010518,20140701,N
801150.SI,600568.SH,20211213,,Y
801150.SI,600572.SH,20040412,,Y
801150.SI,600587.SH,20020927,,Y
801150.SI,600594.SH,20040323,,Y
801150.SI,600607.SH,20030103,20100212,N
801150.SI,600613.SH,19920820,,Y
801150.SI,600624.SH,20211213,,Y
801150.SI,600645.SH,20010903,,Y
801150.SI,600656.SH,19901219,20070525,N
801150.SI,600664.SH,19930629,,Y
801150.SI,600666.SH,19930712,20160630,N
801150.SI,600670.SH,19930809,20040518,N
801150.SI,600671.SH,19930823,,Y
801150.SI,600673.SH,20190708,20220729,N
801150.SI,600682.SH,20200611,20230705,N
801150.SI,600706.SH,20070703,20130628,N
801150.SI,600713.SH,19960701,,Y
801150.SI,600721.SH,20160701,,Y
801150.SI,600739.SH,20190708,,Y
801150.SI,600750.SH,19960923,,Y
801150.SI,600752.SH,19960925,20050520,N
801150.SI,600763.SH,20070703,,Y
801150.SI,600767.SH,20160701,20220729,N
801150.SI,600771.SH,19961105,,Y
801150.SI,600773.SH,20070703,20100601,N
801150.SI,600774.SH,20220801,,Y
801150.SI,600781.SH,20070703,20230529,N
801150.SI,600789.SH,19970226,,Y
801150.SI,600796.SH,19970408,20211210,N
801150.SI,600803.SH,19940103,20110930,N
801150.SI,600807.SH,20240731,,Y
801150.SI,600812.SH,19940114,,Y
801150.SI,600829.SH,20070703,,Y
801150.SI,600833.SH,19940224,,Y
801150.SI,600842.SH,19940311,20100212,N
801150.SI,600851.SH,20160701,,Y
801150.SI,600855.SH,20020508,20070702,N
801150.SI,600866.SH,20040401,20110930,N
801150.SI,600867.SH,19940824,,Y
801150.SI,600869.SH,19950206,20090601,N
801150.SI,600896.SH,20170703,20220627,N
801150.SI,600976.SH,20040419,20060428,N
801150.SI,600976.SH,20060509,,Y
801150.SI,600993.SH,20040517,,Y
801150.SI,600998.SH,20101110,,Y
801150.SI,601089.SH,20220707,,Y
801150.SI,601607.SH,19940324,,Y
801150.SI,603014.SH,20250526,,Y
801150.SI,603079.SH,20170830,20240730,N
801150.SI,603087.SH,20200706,,Y
801150.SI,603108.SH,20150603,,Y
801150.SI,603122.SH,20220223,,Y
801150.SI,603127.SH,20170901,,Y
801150.SI,603139.SH,20170428,,Y
801150.SI,603168.SH,20140709,,Y
801150.SI,603205.SH,20241114,,Y
801150.SI,603207.SH,20240902,,Y
801150.SI,603222.SH,20150303,,Y
801150.SI,603229.SH,20170516,,Y
801150.SI,603233.SH,20170807,,Y
801150.SI,603259.SH,20180515,,Y
801150.SI,603301.SH,20180419,,Y
801150.SI,603309.SH,20150309,,Y
801150.SI,603351.SH,20190213,,Y
801150.SI,603367.SH,20171013,,Y
801150.SI,603368.SH,20141211,,Y
801150.SI,603387.SH,20170724,,Y
801150.SI,603392.SH,20200511,,Y
801150.SI,603439.SH,20200508,,Y
801150.SI,603456.SH,20141017,,Y
801150.SI,603520.SH,20160316,,Y
801150.SI,603538.SH,20170414,,Y
801150.SI,603567.SH,20150504,,Y
801150.SI,603579.SH,20170703,20171226,N
801150.SI,603590.SH,20180903,,Y
801150.SI,603658.SH,20160908,,Y
801150.SI,603669.SH,20150604,,Y
801150.SI,603676.SH,20170728,,Y
801150.SI,603707.SH,20170726,,Y
801150.SI,603716.SH,20161107,,Y
801150.SI,603718.SH,20260203,,Y
801150.SI,603811.SH,20170322,,Y
801150.SI,603858.SH,20161125,,Y
801150.SI,603880.SH,20170814,,Y
801150.SI,603882.SH,20170915,,Y
801150.SI,603883.SH,20150430,,Y
801150.SI,603896.SH,20170517,,Y
801150.SI,603939.SH,20150303,,Y
801150.SI,603963.SH,20170929,20250320,N
801150.SI,603976.SH,20170829,,Y
801150.SI,603987.SH,20161128,,Y
801150.SI,603998.SH,20141212,,Y
801150.SI,605116.SH,20200928,,Y
801150.SI,605177.SH,20201202,,Y
801150.SI,605199.SH,20200717,,Y
801150.SI,605266.SH,20201208,,Y
801150.SI,605369.SH,20200923,,Y
801150.SI,605507.SH,20210809,,Y
801150.SI,688013.SH,20230925,,Y
801150.SI,688016.SH,20230925,,Y
801150.SI,688026.SH,20230925,,Y
801150.SI,688029.SH,20230925,,Y
801150.SI,688046.SH,20230925,,Y
801150.SI,688050.SH,20230925,,Y
801150.SI,688062.SH,20230925,,Y
801150.SI,688067.SH,20230925,,Y
801150.SI,688068.SH,20230925,,Y
801150.SI,688073.SH,20230925,,Y
801150.SI,688075.SH,20230925,,Y
801150.SI,688076.SH,20230925,,Y
801150.SI,688085.SH,20230925,,Y
801150.SI,688091.SH,20230925,,Y
801150.SI,688105.SH,20230925,,Y
801150.SI,688108.SH,20230925,,Y
801150.SI,688114.SH,20230925,,Y
801150.SI,688117.SH,20230925,,Y
801150.SI,688131.SH,20230925,,Y
801150.SI,688136.SH,20230925,,Y
801150.SI,688137.SH,20230925,,Y
801150.SI,688139.SH,20230925,,Y
801150.SI,688151.SH,20230925,,Y
801150.SI,688161.SH,20230925,,Y
801150.SI,688163.SH,20230925,,Y
801150.SI,688166.SH,20230925,,Y
801150.SI,688176.SH,20230925,,Y
801150.SI,688177.SH,20230925,,Y
801150.SI,688180.SH,20230925,,Y
801150.SI,688185.SH,20230925,,Y
801150.SI,688189.SH,20230925,,Y
801150.SI,688192.SH,20230925,,Y
801150.SI,688193.SH,20230925,,Y
801150.SI,688197.SH,20230925,,Y
801150.SI,688198.SH,20230925,,Y
801150.SI,688202.SH,20230925,,Y
801150.SI,688212.SH,20230925,,Y
801150.SI,688217.SH,20230925,,Y
801150.SI,688221.SH,20230925,,Y
801150.SI,688222.SH,20230925,,Y
801150.SI,688235.SH,20230925,,Y
801150.SI,688236.SH,20230925,,Y
801150.SI,688238.SH,20230925,,Y
801150.SI,688247.SH,20230925,,Y
801150.SI,688253.SH,20230925,,Y
801150.SI,688265.SH,20230925,,Y
801150.SI,688266.SH,20230925,,Y
801150.SI,688271.SH,20230925,,Y
801150.SI,688273.SH,20230925,,Y
801150.SI,688276.SH,20230925,,Y
801150.SI,688277.SH,20230925,,Y
801150.SI,688278.SH,20230925,,Y
801150.SI,688289.SH,20230925,,Y
801150.SI,688293.SH,20230925,,Y
801150.SI,688298.SH,20230925,,Y
801150.SI,688301.SH,20230925,,Y
801150.SI,688302.SH,20230925,,Y
801150.SI,688314.SH,20230925,,Y
801150.SI,688315.SH,20230925,,Y
801150.SI,688317.SH,20230925,,Y
801150.SI,688319.SH,20230925,,Y
801150.SI,688321.SH,20230925,,Y
801150.SI,688331.SH,20230925,,Y
801150.SI,688336.SH,20230925,,Y
801150.SI,688338.SH,20230925,,Y
801150.SI,688351.SH,20230925,,Y
801150.SI,688356.SH,20230925,,Y
801150.SI,688358.SH,20230925,,Y
801150.SI,688366.SH,20230925,,Y
801150.SI,688373.SH,20230925,,Y
801150.SI,688382.SH,20230925,,Y
801150.SI,688389.SH,20230925,,Y
801150.SI,688393.SH,20230925,,Y
801150.SI,688399.SH,20230925,,Y
801150.SI,688410.SH,20230925,,Y
801150.SI,688426.SH,20230925,,Y
801150.SI,688428.SH,20230925,,Y
801150.SI,688443.SH,20230925,,Y
801150.SI,688468.SH,20230925,,Y
801150.SI,688488.SH,20230925,,Y
801150.SI,688505.SH,20230925,,Y
801150.SI,688506.SH,20230925,,Y
801150.SI,688513.SH,20230925,,Y
801150.SI,688520.SH,20230925,,Y
801150.SI,688553.SH,20230925,,Y
801150.SI,688566.SH,20230925,,Y
801150.SI,688575.SH,20230925,,Y
801150.SI,688576.SH,20230925,,Y
801150.SI,688578.SH,20230925,,Y
801150.SI,688580.SH,20230925,,Y
801150.SI,688581.SH,20230925,,Y
801150.SI,688602.SH,20240731,20250425,N
801150.SI,688606.SH,20230925,,Y
801150.SI,688607.SH,20230925,,Y
801150.SI,688613.SH,20230925,,Y
801150.SI,688617.SH,20230925,,Y
801150.SI,688621.SH,20230925,,Y
801150.SI,688626.SH,20230925,,Y
801150.SI,688656.SH,20230925,,Y
801150.SI,688658.SH,20230925,,Y
801150.SI,688670.SH,20230925,,Y
801150.SI,688677.SH,20230925,,Y
801150.SI,688687.SH,20230925,,Y
801150.SI,688690.SH,20230925,,Y
801150.SI,688710.SH,20240910,,Y
801150.SI,688712.SH,20260212,,Y
801150.SI,688739.SH,20230925,,Y
801150.SI,688755.SH,20250523,,Y
801150.SI,688758.SH,20250117,,Y
801150.SI,688759.SH,20251104,,Y
801150.SI,688765.SH,20251104,,Y
801150.SI,688767.SH,20230925,,Y
801150.SI,688796.SH,20251217,,Y
801150.SI,688799.SH,20230925,,Y
801150.SI,688805.SH,20251231,,Y
