trade_date,exchange_id,rzye,rzmre,rzche,rqye,rqmcl,rzrqye,rqyl
20240223,BSE,1103518138.0,138921326.0,246234215.0,112824.0,0.0,1103630962.0,7200.0
20240223,SSE,749492807896.0,39613584516.0,37839010801.0,27870603513.0,165464633.0,777363411409.0,4247903175.0
20240223,SZSE,662112892200.0,42176120216.0,39234704861.0,15621376762.0,60850738.0,677734268962.0,2095187503.0
