index_code,con_code,in_date,out_date,is_new
801180.SI,600158.SH,20100602,20160630,N
801180.SI,600159.SH,20061010,,Y
801180.SI,600162.SH,20111010,,Y
801180.SI,600173.SH,20100602,,Y
801180.SI,600175.SH,20030512,20160630,N
801180.SI,600177.SH,20180716,20211210,N
801180.SI,600185.SH,20100420,20260305,N
801180.SI,600193.SH,20100602,20130628,N
801180.SI,600208.SH,20070703,,Y
801180.SI,600215.SH,19990909,20220729,N
801180.SI,600223.SH,20100602,20240205,N
801180.SI,600225.SH,20100602,20211221,N
801180.SI,600225.SH,20211224,20220729,N
801180.SI,600239.SH,20070703,,Y
801180.SI,600240.SH,20061010,20191211,N
801180.SI,600246.SH,20020902,,Y
801180.SI,600247.SH,20061010,20090601,N
801180.SI,600252.SH,20040102,20070702,N
801180.SI,600266.SH,20010903,,Y
801180.SI,600275.SH,20111010,20130628,N
801180.SI,600322.SH,20010910,,Y
801180.SI,600325.SH,20040225,,Y
801180.SI,600340.SH,20111010,,Y
801180.SI,600376.SH,20010312,,Y
801180.SI,600381.SH,20050701,20090601,N
801180.SI,600383.SH,20010412,,Y
801180.SI,600393.SH,20010319,20230717,N
801180.SI,600463.SH,20040401,,Y
801180.SI,600466.SH,20160701,20230605,N
801180.SI,600490.SH,20091012,20110930,N
801180.SI,600503.SH,20090602,,Y
801180.SI,600510.SH,20190708,,Y
801180.SI,600515.SH,20170703,20211221,N
801180.SI,600515.SH,20211224,20220729,N
801180.SI,600515.SH,20230706,,Y
801180.SI,600533.SH,20020328,,Y
801180.SI,600555.SH,20121008,20180713,N
801180.SI,600565.SH,20111010,20240806,N
801180.SI,600568.SH,20140702,20211210,N
801180.SI,600576.SH,20100602,20130628,N
801180.SI,600576.SH,20140702,20160630,N
801180.SI,600603.SH,19920113,20110930,N
801180.SI,600603.SH,20211213,20250812,N
801180.SI,600604.SH,20130701,,Y
801180.SI,600606.SH,19980710,,Y
801180.SI,600614.SH,20070703,20130628,N
801180.SI,600615.SH,20070703,20160630,N
801180.SI,600620.SH,19921117,20070702,N
801180.SI,600620.SH,20111010,20160630,N
801180.SI,600621.SH,20111010,20190705,N
801180.SI,600622.SH,20140702,,Y
801180.SI,600634.SH,20020508,20110426,N
801180.SI,600634.SH,20120704,20130628,N
801180.SI,600638.SH,19930326,,Y
801180.SI,600639.SH,19930326,,Y
801180.SI,600641.SH,19930407,,Y
801180.SI,600647.SH,20111010,20211210,N
801180.SI,600647.SH,20230706,20240604,N
801180.SI,600648.SH,19930504,,Y
801180.SI,600649.SH,20100602,20161229,N
801180.SI,600649.SH,20170103,,Y
801180.SI,600657.SH,20090602,,Y
801180.SI,600658.SH,20100602,,Y
801180.SI,600663.SH,19930628,,Y
801180.SI,600665.SH,19930709,,Y
801180.SI,600675.SH,19930924,,Y
801180.SI,600679.SH,20070703,20130628,N
801180.SI,600683.SH,20111010,,Y
801180.SI,600684.SH,19931028,,Y
801180.SI,600687.SH,20090602,20130628,N
801180.SI,600692.SH,20180716,,Y
801180.SI,600696.SH,20020508,20190705,N
801180.SI,600708.SH,20160701,,Y
801180.SI,600716.SH,20100602,,Y
801180.SI,600724.SH,20130701,20211210,N
