trade_date,etf_code,theme,style,dividend_yield_abs,weighted_pb,weighted_pe_ttm,constituent_count,fundamental_source,manual_score,pb_percentile,pe_percentile,valuation_percentile,valuation_score,risk_free_10y,dividend_spread,dividend_yield_percentile,dividend_spread_percentile,growth_fundamental_score,roe_score,fundamental_score,valuation_filter_pass
2021-02-05,159819.SZ,人工智能,growth,0.0037758264030193,9.455228759217723,70.40037531896161,224.0,constituent_weighted,0.5,,,,0.5,0.031185,-0.0274091735969807,0.25,0.25,0.5,,0.4125,True
2021-02-05,515220.SH,煤炭,cyclical_value,0.0428833320583626,1.216680014718748,10.821294272231857,35.0,constituent_weighted,0.5,,,,0.5,0.031185,0.011698332058362602,0.875,0.875,0.5,,0.63125,True
2021-02-05,159995.SZ,芯片,growth,0.0011281405284909,15.894796546111548,103.9476767090911,68.0,constituent_weighted,0.5,,,,0.5,0.031185,-0.0300568594715091,0.0625,0.0625,0.5,,0.34687500000000004,True
2021-02-19,159928.SZ,消费,stable_value,0.0074965622770635,20.13337163678136,64.45236832502071,110.0,constituent_weighted,0.5,,,,0.5,0.032578,-0.025081437722936504,0.5,0.5,0.5,,0.5,True
2021-02-19,515030.SH,新能源车,growth,0.0405464610479739,1.369273766512772,11.303129977937058,38.0,constituent_weighted,0.5,,,,0.5,0.032578,0.007968461047973899,0.8125,0.8125,0.5,,0.609375,True
2021-02-19,512400.SH,有色,cyclical_value,0.0047112556794864,5.352090520411623,59.12778955672128,121.0,constituent_weighted,0.5,,,,0.5,0.032578,-0.027866744320513604,0.375,0.375,0.5,,0.45625,True
2021-02-19,512660.SH,军工,growth,0.0026729528714826,5.519541981475826,66.50766347681252,75.0,constituent_weighted,0.5,,,,0.5,0.032578,-0.029905047128517402,0.1875,0.1875,0.5,,0.390625,True
2021-02-19,512200.SH,地产,cyclical_value,0.0383324209665174,1.4668662917641218,8.092944033794506,128.0,constituent_weighted,0.45,,,,0.45,0.032578,0.005754420966517397,0.75,0.75,0.45,,0.555,True
2021-02-19,510880.SH,红利,stable_value,0.055,,,0.0,manual_fallback,0.55,,,,0.55,0.032578,0.022421999999999997,1.0,1.0,0.55,,0.7075,True
2021-02-19,561560.SH,电力,stable_value,0.0241336198622256,1.9198061718494264,16.27656236393336,176.0,constituent_weighted,0.5,,,,0.5,0.032578,-0.008444380137774404,0.6875,0.6875,0.5,,0.565625,True
2021-02-19,515790.SH,光伏,growth,0.0043054784117331,9.165551590710937,49.75722707451374,211.0,constituent_weighted,0.5,,,,0.5,0.032578,-0.028272521588266902,0.3125,0.3125,0.5,,0.434375,True
2021-02-19,515210.SH,钢铁,cyclical_value,0.0239980620514933,1.7220477095543456,14.65010504345909,35.0,constituent_weighted,0.5,,,,0.5,0.032578,-0.008579937948506703,0.625,0.625,0.5,,0.54375,True
2021-02-19,512480.SH,半导体,growth,0.0015750769066786,14.632047118081214,95.01487378970722,46.0,constituent_weighted,0.5,,,,0.5,0.032578,-0.031002923093321404,0.125,0.125,0.5,,0.36875,True
2021-02-19,512800.SH,银行,stable_value,0.0417234126087034,1.0150569373524243,7.204161930297102,38.0,constituent_weighted,0.55,,,,0.55,0.032578,0.009145412608703399,0.875,0.875,0.55,,0.6637500000000001,True
2021-02-19,512000.SH,证券,cyclical_value,0.0110275784647253,2.706082550587463,23.492164453125437,47.0,constituent_weighted,0.5,,,,0.5,0.032578,-0.021550421535274703,0.5625,0.5625,0.5,,0.521875,True
2021-02-19,515220.SH,煤炭,cyclical_value,0.0420977298531367,1.311689169574332,11.026776951852892,35.0,constituent_weighted,0.5,,,,0.5,0.032578,0.009519729853136698,0.9375,0.9375,0.5,,0.653125,True
2021-02-19,159995.SZ,芯片,growth,0.0012264438715772,13.490960470062053,97.13029688340546,69.0,constituent_weighted,0.5,,,,0.5,0.032578,-0.0313515561284228,0.0625,0.0625,0.5,,0.34687500000000004,True
2021-02-19,512010.SH,医药,growth,0.0057918285585213,14.821587555473643,48.291926117141166,318.0,constituent_weighted,0.5,,,,0.5,0.032578,-0.026786171441478702,0.4375,0.4375,0.5,,0.478125,True
2021-02-19,159819.SZ,人工智能,growth,0.003931821170841,8.634579894033088,66.91441894200692,227.0,constituent_weighted,0.5,,,,0.5,0.032578,-0.028646178829159003,0.25,0.25,0.5,,0.4125,True
2021-03-05,512480.SH,半导体,growth,0.0015750769066786,14.632047118081214,95.01487378970722,46.0,constituent_weighted,0.5,,,,0.5,0.032578,-0.031002923093321404,0.125,0.125,0.5,,0.36875,True
2021-03-05,512660.SH,军工,growth,0.0026729528714826,5.519541981475826,66.50766347681252,75.0,constituent_weighted,0.5,,,,0.5,0.032578,-0.029905047128517402,0.1875,0.1875,0.5,,0.390625,True
2021-03-05,159819.SZ,人工智能,growth,0.003931821170841,8.634579894033088,66.91441894200692,227.0,constituent_weighted,0.5,,,,0.5,0.032578,-0.028646178829159003,0.25,0.25,0.5,,0.4125,True
2021-03-05,512800.SH,银行,stable_value,0.0417234126087034,1.0150569373524243,7.204161930297102,38.0,constituent_weighted,0.55,,,,0.55,0.032578,0.009145412608703399,0.875,0.875,0.55,,0.6637500000000001,True
2021-03-05,510880.SH,红利,stable_value,0.055,,,0.0,manual_fallback,0.55,,,,0.55,0.032578,0.022421999999999997,1.0,1.0,0.55,,0.7075,True
2021-03-05,515210.SH,钢铁,cyclical_value,0.0239980620514933,1.7220477095543456,14.65010504345909,35.0,constituent_weighted,0.5,,,,0.5,0.032578,-0.008579937948506703,0.625,0.625,0.5,,0.54375,True
2021-03-05,512010.SH,医药,growth,0.0057918285585213,14.821587555473643,48.291926117141166,318.0,constituent_weighted,0.5,,,,0.5,0.032578,-0.026786171441478702,0.4375,0.4375,0.5,,0.478125,True
